Id, Title, Year, Num_Citiation, Authors, Fields_of_Study, 
2113081107, Exploring Flow Factors and Outcomes of Temporal Event Sequences with the Outflow Visualization,2012,98, Krist Wongsuphasawat; David Gotz, Theoretical computer science; Visualization; Data mining; Outflow; Data visualization; Ranging; Pattern recognition; Computer science; Artificial intelligence; Information visualization, 
2165915693, Smooth and efficient zooming and panning,2003,72, J.J. van Wijk; W.A.A. Nuij, , 
2165966087, Analysis Guided Visual Exploration of Multivariate Data,2007,48, Di Yang; Elke A. Rundensteiner; Matthew O. Ward, Computer science; Data science; Knowledge extraction; Data mining; Semantic similarity; Management system; Visualization; Data visualization; Visual analytics; Multivariate statistics; Cluster analysis, 
2113171990, Contextualized Videos: Combining Videos with Environment Models to Support Situational Understanding,2007,39, Yi Wang; David M. Krum; Enylton Machado Coelho; Doug A. Bowman, Spatial contextual awareness; Computer vision; Multimedia; Software design pattern; Space technology; Data visualization; Testbed; Visualization; Artificial intelligence; Spatial relation; Computer science; Context model, 
2113172002, An annotation system for 3D fluid flow visualization,1994,19, Maria M. Loughlin; John F. Hughes, , 
2166069449, ScatterBlogs2: Real-Time Monitoring of Microblog Messages through User-Guided Filtering,2013,68, Harald Bosch; Dennis Thom; Florian Heimerl; Edwin Püttmann; Steffen Koch; Robert Krüger; Michael Wörner; Thomas Ertl, Microblogging; Metadata; Adaptability; Visual analytics; Filter (signal processing); Data mining; Social media; Situation awareness; Computer science; Text mining; Information visualization, 
2166090580, Interactive Vector Field Feature Identification,2010,33, Joel Daniels; Erik W. Anderson; Luis Gustavo Nonato; Cláudio T. Silva, Clustering high-dimensional data; Computer vision; Vector field; Data visualization; Feature (computer vision); Feature extraction; Machine learning; Linear system; Cluster analysis; Feature vector; Computer science; Artificial intelligence, 
2113267084, Rough Interface Reconstruction Using the Level Set Method,2004,2, Yootai Kim; Raghu Machiraju; David S. Thompson, , 
2113270839, Farthest point seeding for efficient placement of streamlines,2005,76, Abdelkrim Mebarki; Pierre Alliez; Olivier Devillers, Seeding; Theoretical computer science; Numerical integration; Streamlines streaklines and pathlines; Mesh generation; Robustness (computer science); Greedy algorithm; Computational fluid dynamics; Mathematical optimization; Delaunay triangulation; Mathematics, 
2166137283, Visualizing evolving networks: minimum spanning trees versus pathfinder networks,2003,109, Chaomei Chen; Steven A. Morris, , 
2113315656, Visualizing coordination in situ,2005,18, Chris Weaver, Computer science; Software visualization; Visual analytics; Data visualization; Human–computer interaction; Visualization; In situ; User interface; Graphical user interface; Information visualization, 
2046885375, Visual Analysis of Higher-Order Conjunctive Relationships in Multidimensional Data Using a Hypergraph Query System,2013,6, Rachel Shadoan; Chris Weaver, Query language; Data visualization; Hypergraph; Data mining; Computer science; Constraint graph; Curse of dimensionality; Multidimensional analysis; Visual analytics; Boolean conjunctive query, 
